Unnamed: 0,classified_id,classified_type,classified_price,classified_zip,classified_kitchen_type,classified_building_constructionYear,classified_building_condition,classified_energy_heatingType,classified_certificates_primaryEnergyConsumptionLevel,classified_bedroom_count,classified_land_surface,classified_outdoor_terrace_exists,customer_id
10725,10037707.0,apartment,295000,1070.0,hyperequipped,2022.0,asnew,gas,24.49,2.0,0.0,True,3826086.0
10730,9602407.0,apartment,329000,1490.0,hyperequipped,0.0,asnew,gas,0.0,3.0,0.0,True,171849.0
10737,10109710.0,apartment,399000,1340.0,hyperequipped,0.0,asnew,gas,0.0,2.0,0.0,True,1749739.0
10738,10109712.0,apartment,450000,1340.0,hyperequipped,0.0,asnew,gas,0.0,2.0,0.0,True,1749739.0
10739,10057967.0,apartment,450000,6690.0,0,2022.0,asnew,gas,0.0,3.0,0.0,True,3878546.0
10745,10104214.0,apartment,389000,1140.0,hyperequipped,0.0,asnew,gas,265.0,3.0,0.0,True,3467370.0
10748,10158411.0,apartment,139000,8420.0,installed,0.0,good,gas,436.0,2.0,0.0,0,2592846.0
10750,10158405.0,house,109000,8530.0,installed,1919.0,tobedoneup,gas,538.0,2.0,126.0,0,2148942.0
10754,10144882.0,apartment,455500,9070.0,hyperequipped,2023.0,asnew,gas,0.0,3.0,0.0,True,3180660.0
10759,10130463.0,apartment,540000,1050.0,usahyperequipped,1938.0,justrenovated,gas,150.0,2.0,0.0,0,2595964.0
10760,10130646.0,apartment,649000,2800.0,notinstalled,0.0,good,gas,163.0,3.0,0.0,True,3309404.0
10765,10113570.0,apartment,249000,1083.0,usahyperequipped,1970.0,asnew,gas,350.0,3.0,0.0,0,1306479.0
10766,10102447.0,apartment,295000,1090.0,installed,0.0,good,gas,233.0,2.0,0.0,True,3489567.0
10767,10123489.0,apartment,415000,1050.0,installed,0.0,good,gas,105.0,2.0,0.0,True,3488269.0
10769,10142493.0,apartment,188000,9420.0,installed,1995.0,good,electric,346.0,2.0,0.0,0,1915103.0
10770,10130312.0,apartment,209000,7700.0,installed,0.0,asnew,gas,119.0,2.0,0.0,True,3863571.0
10771,10140324.0,apartment,280000,4000.0,0,0.0,asnew,gas,146.0,2.0,0.0,0,116888.0
10775,9780337.0,apartment,95000,7700.0,installed,0.0,justrenovated,electric,398.0,1.0,0.0,0,1214934.0
10777,10103752.0,apartment,115000,3800.0,0,1960.0,tobedoneup,fueloil,223.0,1.0,0.0,0,3874822.0
10778,10026045.0,apartment,124000,8400.0,installed,1964.0,good,gas,0.0,2.0,0.0,0,2547553.0
10779,10083619.0,apartment,125000,1070.0,notinstalled,0.0,torenovate,gas,296.0,1.0,0.0,True,76092.0
10781,10084414.0,apartment,129000,8000.0,0,0.0,good,gas,117.0,1.0,0.0,0,982179.0
10782,9930919.0,apartment,129000,8870.0,installed,0.0,asnew,gas,337.0,1.0,0.0,True,2163147.0
